QUERY_SNP	GWAS_SNP	GWAS_TRAIT	GWAS_STUDY	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs199528	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs199528	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	KANSL1	1
rs2106785	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2106785	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	LRRC37A2	1
rs2435204	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2435204	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs2665405	rs1292055	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RNFT1	1
rs2665405	rs1292054	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RNFT1	1
rs2665405	rs1292051	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RNFT1	1
rs2883071	rs1030827	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Dendritic Cell	JUP	1
rs2883071	rs1030827	COVID-19 (severe vs tested, not severe)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Dendritic Cell	JUP	1
rs2883071	rs6503665	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Dendritic Cell	JUP	1
rs2957297	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs3097118	rs62070270	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	EFCAB5	1
rs3097118	rs7220151	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	EFCAB5	1
rs3097118	rs9747395	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	EFCAB5	1
rs34503528	rs34452291	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	ST6GALNAC1	1
rs34503528	rs7210577	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	ST6GALNAC1	1
rs34835035	rs34452291	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	ST6GALNAC1	1
rs34835035	rs7210577	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	ST6GALNAC1	1
rs35631660	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs35631660	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	RP11-669E14.6	1
rs383241	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs383241	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	KANSL1-AS1	1
rs4327090	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4327090	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs440778	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4429345	rs62070270	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4429345	rs7220151	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4429345	rs9747395	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4429345	rs11080114	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4429345	rs8065261	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4429345	rs11080121	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	BLMH	1
rs4583306	rs7220151	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-354P11.3	1
rs4583306	rs11080114	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-354P11.3	1
rs4583306	rs8065261	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-354P11.3	1
rs4583306	rs11080121	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-354P11.3	1
rs4630591	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4630591	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	RP11-669E14.6	1
rs4793665	rs10153257	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Classic Monocyte	ABCC3	1
rs4796703	rs1030827	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Naïve/Immature B Cell	JUP	1
rs4796703	rs1030827	COVID-19 (severe vs tested, not severe)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Naïve/Immature B Cell	JUP	1
rs4796703	rs6503665	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Naïve/Immature B Cell	JUP	1
rs531934295	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Effector memory	LRRC37A2	1
rs531934295	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	LRRC37A2	1
rs543659018	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Natural Killer Cell	RP11-669E14.6	1
rs554899842	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs556130006	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	RP11-669E14.6	1
rs55657917	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs55657917	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
