Mode	Cell	Chr	Gene	SNP	SNP_TSS	maf	pq_val	slope	slope_se
cis-independent	CD4	7	ENSG00000121716	rs111344110	-54491	0.197368	2.10163e-06	0.592971	0.112741
cis-independent	CD4	7	ENSG00000126522	rs62470554	-557014	0.203947	2.18677e-06	-0.750492	0.142982
cis-independent	CD4	7	ENSG00000127947	rs62473773	-900458	0.157895	2.60461e-06	0.820601	0.157763
cis-independent	CD4	7	ENSG00000198874	rs10236844	108086	0.210526	2.82502e-06	0.53333	0.102971
cis-independent	CD4	7	ENSG00000211698	rs58232536	-10348	0.276316	3.04352e-06	-0.839959	0.162809
cis-independent	CD4	7	ENSG00000146918	rs9801117	9242	0.473684	3.13621e-06	-0.525511	0.102021
cis-independent	CD4	7	ENSG00000196511	rs7803436	109359	0.355263	5.52214e-06	-0.594359	0.11896
cis-independent	CD4	7	ENSG00000219545	rs58491158	699366	0.144737	5.57854e-06	-0.695661	0.139313
cis-independent	CD4	7	ENSG00000105793	rs42641	8226	0.559211	5.99891e-06	0.525324	0.105624
cis-independent	CD4	7	ENSG00000090266	rs35418615	16648	0.118421	6.21146e-06	-0.771169	0.155354
cis-independent	CD4	7	ENSG00000135211	rs2463010	86133	0.447368	6.42918e-06	-0.344684	0.0695705
cis-independent	CD4	7	ENSG00000105939	rs7780069	-16020	0.203947	6.62795e-06	-0.469704	0.0949654
cis-independent	CD4	7	ENSG00000211697	rs58232536	-5853	0.276316	6.79345e-06	-0.849238	0.171937
cis-independent	CD4	7	ENSG00000008282	rs538047317	289950	0.0592105	7.26425e-06	-0.992549	0.201707
cis-independent	CD4	7	ENSG00000127952	rs77651535	226122	0.131579	7.84779e-06	0.691761	0.141193
cis-independent	CD4	7	ENSG00000129103	rs75053440	648068	0.118421	8.19981e-06	-0.977847	0.200082
cis-independent	CD4	7	ENSG00000197008	rs56228787	125752	0.289474	8.25578e-06	0.690689	0.14138
cis-independent	CD4	7	ENSG00000106123	rs73452838	-47789	0.111842	8.26871e-06	0.777275	0.159117
cis-independent	CD4	7	ENSG00000158525	rs4731671	-130098	0.0789474	9.6214e-06	1.01047	0.208315
cis-independent	CD4	7	ENSG00000002822	rs55832849	142606	0.0526316	1.04766e-05	-1.44807	0.300479
cis-independent	CD4	7	ENSG00000188186	rs7341389	-11361	0.532895	1.06336e-05	-0.555924	0.115455
cis-independent	CD4	7	ENSG00000211750	rs17711741	-27384	0.611842	1.07393e-05	0.808089	0.167921
cis-independent	CD4	7	ENSG00000211716	rs2734056	-30570	0.157895	1.27152e-05	-0.874474	0.183513
cis-independent	CD4	7	ENSG00000075142	rs1063964	-13885	0.388158	1.3141e-05	0.345836	0.0727163
cis-independent	CD4	7	ENSG00000136270	rs2083366	-13447	0.197368	1.69958e-05	0.568322	0.121338
cis-independent	CD4	8	ENSG00000147813	rs9657360	19368	0.769737	9.08342e-20	1.28364	0.0947319
cis-independent	CD4	8	ENSG00000161016	rs2954654	-8090	0.447368	4.39583e-17	0.959694	0.0816977
cis-independent	CD4	8	ENSG00000265817	rs3019145	-35629	0.322368	2.44336e-14	1.07277	0.107131
cis-independent	CD4	8	ENSG00000170873	rs2303952	-162846	0.598684	1.71034e-13	-0.799506	0.0841803
cis-independent	CD4	8	ENSG00000221947	rs7831792	-16245	0.526316	3.96129e-13	1.20055	0.129414
cis-independent	CD4	8	ENSG00000129422	rs17125140	-24822	0.552632	9.04529e-13	-0.723753	0.0795263
cis-independent	CD4	8	ENSG00000079459	rs13276352	4755	0.236842	6.25775e-12	-1.02067	0.119257
cis-independent	CD4	8	ENSG00000176209	rs2923424	-14075	0.565789	8.71197e-12	-0.749166	0.0880661
cis-independent	CD4	8	ENSG00000172728	rs13250099	-25971	0.532895	1.23513e-11	-0.985706	0.117584
cis-independent	CD4	8	ENSG00000177570	rs2514596	-5068	0.875	4.40428e-11	-1.08766	0.135016
cis-independent	CD4	8	ENSG00000036448	rs62478456	80269	0.131579	9.89458e-11	1.47729	0.188239
cis-independent	CD4	8	ENSG00000071894	rs35817095	-17409	0.289474	2.99882e-10	-0.761372	0.100661
cis-independent	CD4	8	ENSG00000183665	rs11556913	482	0.381579	1.47417e-09	0.864072	0.120753
cis-independent	CD4	8	ENSG00000104714	rs1703911	-80155	0.342105	2.20598e-09	-0.687022	0.0974175
cis-independent	CD4	8	ENSG00000136573	rs4840565	1141	0.296053	1.17778e-08	-1.00914	0.152397
cis-independent	CD4	8	ENSG00000133731	rs2142316	-33359	0.381579	5.10064e-08	-0.533093	0.0853968
cis-independent	CD4	8	ENSG00000085719	rs11781016	2633	0.460526	6.6589e-08	0.655147	0.106127
cis-independent	CD4	8	ENSG00000104427	rs922928	-20966	0.861842	8.32498e-08	0.967838	0.158272
cis-independent	CD4	8	ENSG00000066855	rs7822636	-85736	0.111842	1.2125e-07	1.12912	0.18766
cis-independent	CD4	8	ENSG00000129422	rs11984918	193025	0.0723684	1.53966e-07	0.921429	0.154398
cis-independent	CD4	8	ENSG00000104228	rs9657292	8138	0.427632	4.43435e-07	-0.492633	0.0867966
cis-independent	CD4	8	ENSG00000197275	rs12676373	-125226	0.309211	4.53005e-07	0.628018	0.11076
cis-independent	CD4	8	ENSG00000147471	rs7463174	15535	0.190789	6.61738e-07	0.572828	0.102852
cis-independent	CD4	8	ENSG00000176209	rs17875735	-210622	0.361842	1.04959e-06	-0.481332	0.0882041
cis-independent	CD4	8	ENSG00000104408	rs2084818	-233975	0.282895	1.06704e-06	0.465219	0.0854877
cis-independent	CD4	8	ENSG00000165156	rs7004647	566814	0.875	2.25692e-06	-0.804091	0.153443
cis-independent	CD4	8	ENSG00000197217	rs17088182	2310	0.210526	3.7196e-06	0.699624	0.137059
cis-independent	CD4	8	ENSG00000104497	rs799331	-21586	0.335526	3.7326e-06	-0.599227	0.117413
cis-independent	CD4	8	ENSG00000147421	rs10088428	161610	0.25	4.7954e-06	-0.670982	0.133263
cis-independent	CD4	8	ENSG00000153317	rs72724488	212425	0.0526316	6.8203e-06	1.28067	0.259342
cis-independent	CD4	8	ENSG00000160948	rs62531499	359815	0.171053	9.04655e-06	0.867672	0.178534
cis-independent	CD4	8	ENSG00000155099	rs16914707	956396	0.131579	9.58086e-06	0.703429	0.145215
cis-independent	CD4	9	ENSG00000172785	rs3008143	14680	0.539474	2.2714e-25	-1.2802	0.0720156
cis-independent	CD4	9	ENSG00000137106	rs10973326	-3167	0.355263	8.88564e-24	1.30056	0.0788125
cis-independent	CD4	9	ENSG00000164978	rs66653119	40177	0.184211	1.11324e-16	1.42435	0.12401
cis-independent	CD4	9	ENSG00000135047	rs2378756	-1296	0.447368	4.76194e-16	-1.03573	0.0934599
cis-independent	CD4	9	ENSG00000107018	rs1853218	-17567	0.190789	7.85607e-16	1.35648	0.123945
cis-independent	CD4	9	ENSG00000106733	rs3752955	-18417	0.513158	4.25369e-15	-0.884864	0.0844041
cis-independent	CD4	9	ENSG00000107020	rs2381277	-56056	0.611842	8.70442e-13	-0.800879	0.088291
cis-independent	CD4	9	ENSG00000165028	rs144329181	-8209	0.25	3.50908e-11	1.255	0.154669
cis-independent	CD4	9	ENSG00000197958	rs7033779	-22875	0.513158	9.38973e-11	0.678324	0.0862854
cis-independent	CD4	9	ENSG00000175164	rs2013075	-47454	0.0789474	1.44385e-10	1.96546	0.253573
cis-independent	CD4	9	ENSG00000155876	rs2233802	170	0.171053	3.73391e-10	0.618457	0.0823779
cis-independent	CD4	9	ENSG00000136819	rs8113	-7949	0.184211	1.93838e-09	-0.751462	0.106056
cis-independent	CD4	9	ENSG00000119431	rs111758952	4	0.282895	2.59394e-09	-0.69164	0.0986536
cis-independent	CD4	9	ENSG00000107099	rs10970638	114975	0.236842	3.13339e-09	-0.687476	0.0987426
cis-independent	CD4	9	ENSG00000137145	rs10757060	216419	0.493421	1.03099e-08	0.438703	0.0659101
cis-independent	CD4	9	ENSG00000135002	rs2501928	-12735	0.677632	2.06744e-08	0.629202	0.097151
cis-independent	CD4	9	ENSG00000147955	rs3176813	53081	0.184211	2.36837e-08	-0.603277	0.0936562
cis-independent	CD4	9	ENSG00000086062	rs1969976	-47151	0.322368	4.97429e-08	0.59964	0.0959567
cis-independent	CD4	9	ENSG00000160408	rs10819317	9269	0.217105	5.0206e-08	-1.05624	0.169088
cis-independent	CD4	9	ENSG00000148396	rs7020201	38963	0.526316	5.04699e-07	-0.467465	0.082863
cis-independent	CD4	9	ENSG00000106780	rs2416800	67254	0.559211	5.83892e-07	0.622491	0.111105
cis-independent	CD4	9	ENSG00000135070	rs1535758	-7339	0.664474	6.21364e-07	-0.639837	0.114539
cis-independent	CD4	9	ENSG00000136840	rs10819317	-10364	0.217105	7.47194e-07	-0.94158	0.170049
cis-independent	CD4	9	ENSG00000119471	rs4979108	-2256	0.25	1.44485e-06	-0.714385	0.133266
cis-independent	CD4	9	ENSG00000106829	rs2807303	406	0.335526	1.99858e-06	0.545869	0.103518
cis-independent	CD4	9	ENSG00000187609	rs12685134	-646350	0.111842	2.23508e-06	1.03733	0.197852
cis-independent	CD4	9	ENSG00000155158	rs2849049	-5787	0.263158	2.24827e-06	-0.745623	0.142258
cis-independent	CD4	9	ENSG00000136856	rs114382765	628958	0.0526316	3.51575e-06	-1.10495	0.215814
cis-independent	CD4	9	ENSG00000188921	rs1986633	-155381	0.526316	3.91898e-06	-0.523228	0.10279
cis-independent	CD4	9	ENSG00000169692	rs12005938	-527014	0.151316	3.93787e-06	-0.828709	0.162844
cis-independent	CD4	9	ENSG00000187764	rs7872751	-33942	0.263158	4.11508e-06	-0.701566	0.138187
cis-independent	CD4	9	ENSG00000136783	rs10820724	14425	0.677632	5.68631e-06	0.581207	0.116515
cis-independent	CD4	9	ENSG00000165140	rs12236456	-120826	0.368421	8.38227e-06	-0.689789	0.141317
cis-independent	CD4	10	ENSG00000138185	rs10882655	2834	0.486842	4.60484e-17	-1.05096	0.0895667
cis-independent	CD4	10	ENSG00000165752	rs12778987	82675	0.302632	4.71036e-17	1.09177	0.093096
cis-independent	CD4	10	ENSG00000107796	rs7069061	42378	0.506579	1.02367e-16	-0.914096	0.0794226
cis-independent	CD4	10	ENSG00000180817	rs12355080	-29578	0.276316	3.56615e-16	0.870821	0.0780169
cis-independent	CD4	10	ENSG00000122359	rs12773794	-7884	0.171053	1.10737e-12	0.924822	0.102665
cis-independent	CD4	10	ENSG00000079332	rs7095493	-36737	0.532895	2.29533e-12	-0.730349	0.0828203
cis-independent	CD4	10	ENSG00000166272	rs284854	70856	0.572368	5.84439e-12	0.778844	0.0908139
cis-independent	CD4	10	ENSG00000148834	rs2164624	18330	0.342105	6.54668e-12	0.863314	0.101009
cis-independent	CD4	10	ENSG00000170430	rs1008982	180237	0.342105	7.08412e-11	-1.05549	0.133039
cis-independent	CD4	10	ENSG00000203791	rs10901821	31483	0.697368	2.32911e-10	-0.826843	0.108389
cis-independent	CD4	10	ENSG00000057608	rs72774070	-95199	0.263158	4.57165e-10	-0.53456	0.0716981
cis-independent	CD4	10	ENSG00000237489	rs143088701	-47827	0.217105	5.31414e-10	0.99075	0.133575
cis-independent	CD4	10	ENSG00000152465	rs10906857	87670	0.453947	1.0402e-09	-0.865072	0.119401
cis-independent	CD4	10	ENSG00000204161	rs11101006	5948	0.381579	1.49092e-09	-0.917337	0.128248
cis-independent	CD4	10	ENSG00000148814	rs76805118	-920	0.105263	2.49656e-09	1.40704	0.200415
cis-independent	CD4	10	ENSG00000148690	rs2095889	48650	0.190789	2.53671e-09	-0.956898	0.136378
cis-independent	CD4	10	ENSG00000107771	rs57796768	-16050	0.138158	8.00713e-09	-0.899447	0.133823
cis-independent	CD4	10	ENSG00000107614	rs10904883	-68188	0.710526	1.06279e-08	-0.809163	0.121711
cis-independent	CD4	10	ENSG00000119979	rs71480783	23558	0.407895	3.01375e-08	-0.683637	0.107169
cis-independent	CD4	10	ENSG00000197321	rs10826687	12385	0.230263	6.97839e-08	0.802329	0.130227
cis-independent	CD4	10	ENSG00000065621	rs61861321	-130018	0.0921053	3.71962e-07	-1.3387	0.233948
cis-independent	CD4	10	ENSG00000188690	rs10901449	24392	0.335526	4.7233e-07	-0.6254	0.110514
cis-independent	CD4	10	ENSG00000156510	rs35696875	2047	0.723684	6.5309e-07	-0.602598	0.108129
cis-independent	CD4	10	ENSG00000107863	rs3833494	-127819	0.296053	8.66872e-07	0.817829	0.148764
cis-independent	CD4	10	ENSG00000138111	rs10786679	94514	0.328947	1.05925e-06	-0.766884	0.14087
cis-independent	CD4	10	ENSG00000122862	rs2855025	8112	0.473684	3.60842e-06	-0.435669	0.0852114
cis-independent	CD4	10	ENSG00000266412	rs2611512	56832	0.453947	8.12509e-06	0.403817	0.082584
cis-independent	CD4	11	ENSG00000166435	rs2076980	-209791	0.25	2.92309e-25	1.2737	0.0720132
cis-independent	CD4	11	ENSG00000166387	rs7126061	13893	0.644737	2.55869e-19	1.2374	0.0934631
cis-independent	CD4	11	ENSG00000134809	rs2848626	-14240	0.763158	5.96624e-19	-1.43059	0.110146
cis-independent	CD4	11	ENSG00000075239	rs145335257	-4920	0.171053	1.73936e-16	1.09235	0.0961469
cis-independent	CD4	11	ENSG00000154134	rs11219822	11315	0.460526	5.74852e-16	0.931921	0.0844886
cis-independent	CD4	11	ENSG00000142089	rs10751647	-13611	0.460526	2.7053e-12	0.648381	0.0735736
cis-independent	CD4	11	ENSG00000197345	rs678904	-55655	0.342105	3.51969e-12	-0.864832	0.0993197
cis-independent	CD4	11	ENSG00000172543	rs568617	5961	0.190789	1.20688e-11	-1.21632	0.14499
cis-independent	CD4	11	ENSG00000084207	rs4930436	-21877	0.460526	1.28916e-11	-0.897118	0.107157
cis-independent	CD4	11	ENSG00000142102	rs11600194	-1168	0.427632	1.29709e-11	0.720465	0.0857376
cis-independent	CD4	11	ENSG00000196655	rs58709307	-11911	0.263158	1.78105e-11	0.825573	0.0996027
cis-independent	CD4	11	ENSG00000149084	rs6485462	113969	0.690789	2.46845e-11	0.83657	0.101963
cis-independent	CD4	11	ENSG00000177697	rs200614688	1	0.230263	8.64997e-11	-1.02825	0.130448
cis-independent	CD4	11	ENSG00000149485	rs174548	-13128	0.342105	1.92334e-10	1.1437	0.148968
cis-independent	CD4	11	ENSG00000173113	rs4980506	-206610	0.0657895	2.42222e-10	-1.3167	0.17283
cis-independent	CD4	11	ENSG00000174547	rs11227485	9103	0.322368	6.34567e-10	0.453767	0.0615553
cis-independent	CD4	11	ENSG00000185201	rs14408	4658	0.375	6.43045e-10	-0.840119	0.114018
cis-independent	CD4	11	ENSG00000149218	rs503612	40175	0.388158	7.65777e-10	0.710676	0.0970398
cis-independent	CD4	11	ENSG00000132740	rs619727	-43797	0.296053	2.00625e-09	0.797181	0.112649
cis-independent	CD4	11	ENSG00000110455	rs2074038	513	0.0723684	2.34974e-09	1.57748	0.224196
cis-independent	CD4	11	ENSG00000152219	rs7927974	6571	0.269737	2.96363e-09	-0.864925	0.123975
cis-independent	CD4	11	ENSG00000160654	rs45508093	8999	0.210526	3.939e-09	-0.815183	0.118082
cis-independent	CD4	11	ENSG00000166436	rs10840105	19534	0.460526	6.80811e-09	0.690576	0.102112
cis-independent	CD4	11	ENSG00000177042	rs56394618	2073	0.401316	1.08633e-08	-0.837864	0.126135
cis-independent	CD4	11	ENSG00000175582	rs7126049	-88801	0.236842	9.67614e-08	-0.591115	0.0972899
cis-independent	CD4	11	ENSG00000149292	rs148118958	23485	0.644737	1.30402e-07	-0.567614	0.0946365
cis-independent	CD4	11	ENSG00000142089	rs14408	-12181	0.375	1.61712e-07	0.57788	0.0970422
cis-independent	CD4	11	ENSG00000196914	rs73005072	857721	0.0657895	2.37141e-07	-1.54806	0.265036
cis-independent	CD4	11	ENSG00000214026	rs1104890	-5809	0.131579	2.63221e-07	-0.92422	0.158979
cis-independent	CD4	11	ENSG00000166471	rs143592721	-25419	0.151316	2.84365e-07	-1.08324	0.186988
cis-independent	CD4	11	ENSG00000162302	rs538147	3101	0.388158	2.96522e-07	-0.518836	0.0897321
cis-independent	CD4	11	ENSG00000174885	rs2178798	-23539	0.368421	3.10829e-07	-0.612436	0.106148
cis-independent	CD4	11	ENSG00000172725	rs4084113	46089	0.375	3.43668e-07	-0.631583	0.109972
cis-independent	CD4	11	ENSG00000175567	rs12277859	-158462	0.105263	5.03662e-07	1.19732	0.212216
cis-independent	CD4	11	ENSG00000182985	rs11604535	-315716	0.118421	6.97755e-07	-1.23879	0.22299
cis-independent	CD4	11	ENSG00000255221	rs542226	-44368	0.901316	7.66409e-07	0.802334	0.145079
cis-independent	CD4	11	ENSG00000126432	rs28395878	-58126	0.0592105	7.79116e-07	-1.37551	0.248919
cis-independent	CD4	11	ENSG00000110104	rs916812	154435	0.125	9.99656e-07	0.782335	0.143301
cis-independent	CD4	11	ENSG00000158555	rs1783557	55900	0.894737	1.06978e-06	-0.927342	0.170428
cis-independent	CD4	11	ENSG00000121691	rs17881392	34659	0.0921053	1.20618e-06	1.03889	0.192063
cis-independent	CD4	11	ENSG00000177106	rs4078520	28990	0.539474	1.73702e-06	0.672028	0.126534
cis-independent	CD4	11	ENSG00000182919	rs1783938	11626	0.657895	1.90904e-06	-0.560706	0.106083
cis-independent	CD4	11	ENSG00000175575	rs1685333	140414	0.276316	2.0864e-06	-0.457767	0.0870022
cis-independent	CD4	11	ENSG00000020922	rs59678918	-98056	0.263158	2.29996e-06	0.585821	0.111901
cis-independent	CD4	11	ENSG00000158483	rs3891415	-22524	0.546053	2.80772e-06	-0.669811	0.12928
cis-independent	CD4	11	ENSG00000177156	rs67261431	90246	0.144737	3.10908e-06	-0.664603	0.128964
cis-independent	CD4	11	ENSG00000151500	rs7951888	472631	0.493421	3.16389e-06	-0.573897	0.111466
cis-independent	CD4	11	ENSG00000172922	rs58950470	-104203	0.315789	3.65074e-06	-0.566669	0.110902
cis-independent	CD4	11	ENSG00000134825	rs174574	42266	0.631579	4.00398e-06	-0.517388	0.10176
cis-independent	CD4	11	ENSG00000171067	rs10896311	-32886	0.335526	4.74447e-06	0.696192	0.138189
cis-independent	CD4	11	ENSG00000135387	rs4756137	309477	0.197368	4.93364e-06	-0.53779	0.106975
cis-independent	CD4	11	ENSG00000109920	rs7126378	-203546	0.473684	5.92418e-06	-0.381768	0.0767068
cis-independent	CD4	11	ENSG00000142102	rs2071175	785274	0.0723684	8.43296e-06	0.916031	0.187427
cis-independent	CD4	11	ENSG00000173992	rs693025	-16774	0.539474	8.90912e-06	-0.680782	0.139957
cis-independent	CD4	11	ENSG00000172932	rs11316823	302091	0.309211	9.6015e-06	0.54347	0.112207
cis-independent	CD4	11	ENSG00000179057	rs2289965	-19086	0.434211	9.61618e-06	0.75242	0.155361
cis-independent	CD4	11	ENSG00000197601	rs7924725	-57188	0.355263	9.78757e-06	0.457551	0.0945721
cis-independent	CD4	12	ENSG00000197728	rs10876864	-34051	0.605263	1.20889e-24	-1.3849	0.0805757
cis-independent	CD4	12	ENSG00000231887	rs148183795	93975	0.559211	5.15053e-20	-1.06545	0.0776445
cis-independent	CD4	12	ENSG00000136003	rs10746125	-47892	0.894737	1.16192e-19	-1.54604	0.113862
cis-independent	CD4	12	ENSG00000013573	rs3864918	31757	0.434211	9.69915e-17	-1.03163	0.0895175
cis-independent	CD4	12	ENSG00000167768	rs2741159	-2810	0.473684	2.1666e-16	1.1316	0.100141
cis-independent	CD4	12	ENSG00000180481	rs2102135	42585	0.401316	3.75367e-12	-1.07129	0.123266
cis-independent	CD4	12	ENSG00000066084	rs7304087	-15882	0.322368	6.21006e-11	-1.06103	0.13317
cis-independent	CD4	12	ENSG00000139433	rs7397059	-7431	0.519737	8.08159e-11	-0.737548	0.0933619
cis-independent	CD4	12	ENSG00000166896	rs9971803	6274	0.315789	8.9057e-11	-0.814104	0.103379
cis-independent	CD4	12	ENSG00000102189	rs73209563	2514	0.486842	9.50559e-11	0.880472	0.112044
cis-independent	CD4	12	ENSG00000139192	rs2041387	1966	0.223684	3.94014e-10	0.980369	0.130824
cis-independent	CD4	12	ENSG00000013583	rs67498669	877	0.552632	9.41296e-10	-0.824087	0.113344
cis-independent	CD4	12	ENSG00000139714	rs12320939	-44838	0.361842	9.48497e-10	0.758155	0.104304
cis-independent	CD4	12	ENSG00000010626	rs7316447	9468	0.282895	9.78035e-10	0.846357	0.116564
cis-independent	CD4	12	ENSG00000076067	rs3782235	-58	0.460526	1.41528e-09	-0.829945	0.115814
cis-independent	CD4	12	ENSG00000139182	rs7294478	-15490	0.407895	1.85237e-09	-0.660654	0.0930871
cis-independent	CD4	12	ENSG00000121380	rs2287153	21089	0.282895	6.41301e-09	0.777233	0.114665
cis-independent	CD4	12	ENSG00000184752	rs835044	67	0.611842	9.3682e-09	-0.715293	0.107068
cis-independent	CD4	12	ENSG00000127337	rs2603079	35541	0.256579	1.05852e-08	0.982645	0.147782
cis-independent	CD4	12	ENSG00000118307	rs61761154	38061	0.105263	2.08879e-08	1.09823	0.16964
cis-independent	CD4	12	ENSG00000139197	rs7296261	-32083	0.611842	2.19336e-08	0.805841	0.124719
cis-independent	CD4	12	ENSG00000155957	rs1921083	-57146	0.407895	3.75149e-08	-0.65848	0.104152
cis-independent	CD4	12	ENSG00000122986	rs555592281	-155295	0.118421	5.01172e-08	-1.13885	0.1823
cis-independent	CD4	12	ENSG00000111671	rs12302749	-6154	0.276316	5.68473e-08	0.851891	0.137084
cis-independent	CD4	12	ENSG00000139725	rs1168663	2494	0.828947	1.17712e-07	0.834833	0.138571
cis-independent	CD4	12	ENSG00000171840	rs11064141	1880	0.572368	3.70292e-07	-0.706078	0.123367
cis-independent	CD4	12	ENSG00000136003	rs12367378	-20899	0.684211	3.97032e-07	0.450458	0.0787919
cis-independent	CD4	12	ENSG00000133639	rs2934166	-40571	0.565789	5.88798e-07	-0.606338	0.108265
cis-independent	CD4	12	ENSG00000139610	rs11169800	-38695	0.394737	7.0296e-07	0.683462	0.123072
cis-independent	CD4	12	ENSG00000111144	rs2300557	-2073	0.0723684	7.85201e-07	1.10922	0.200805
cis-independent	CD4	12	ENSG00000090612	rs144298557	42946	0.664474	8.05141e-07	0.750028	0.135944
cis-independent	CD4	12	ENSG00000186049	rs114025365	15430	0.256579	8.21813e-07	-0.841693	0.152709
cis-independent	CD4	12	ENSG00000188735	rs73413713	64364	0.138158	9.53511e-07	1.02154	0.186684
cis-independent	CD4	12	ENSG00000013503	rs4293220	-730035	0.572368	1.86399e-06	0.451347	0.0852884
cis-independent	CD4	12	ENSG00000167778	rs397973237	714	0.144737	1.92004e-06	0.670545	0.126901
cis-independent	CD4	12	ENSG00000061987	rs10877887	136582	0.342105	2.39117e-06	-0.460442	0.0881285
cis-independent	CD4	12	ENSG00000139726	rs4759356	145274	0.927632	3.30205e-06	0.811217	0.157917
cis-independent	CD4	12	ENSG00000176422	rs4759251	91746	0.796053	4.05824e-06	-0.921543	0.18138
cis-independent	CD4	13	ENSG00000120675	rs17553284	366	0.223684	2.00721e-25	-1.44355	0.0810033
cis-independent	CD4	13	ENSG00000151773	rs7322781	-6825	0.473684	3.19567e-14	-0.999799	0.100563
cis-independent	CD4	13	ENSG00000125247	rs9582406	-46234	0.302632	1.41943e-13	1.03715	0.108639
cis-independent	CD4	13	ENSG00000032742	rs9506515	-9288	0.539474	1.21807e-12	-0.878855	0.0978323
cis-independent	CD4	13	ENSG00000023516	rs875008	-3591	0.243421	4.21975e-12	0.547078	0.0631689
cis-independent	CD4	13	ENSG00000186184	rs2232669	615	0.118421	4.26952e-09	1.02608	0.149078
cis-independent	CD4	13	ENSG00000188243	rs7325969	7528	0.210526	6.12068e-09	-0.582312	0.0857567
cis-independent	CD4	13	ENSG00000118939	rs7329512	-3915	0.894737	2.154e-08	0.979297	0.151455
cis-independent	CD4	13	ENSG00000169062	rs7332374	-51344	0.151316	3.09914e-08	1.01699	0.159608
cis-independent	CD4	13	ENSG00000179630	rs2028813	-31295	0.335526	1.81923e-07	-0.74243	0.125611
cis-independent	CD4	13	ENSG00000165487	rs9580157	56319	0.203947	9.12965e-07	0.609681	0.111182
cis-independent	CD4	13	ENSG00000133103	rs9576873	-8051	0.585526	2.48989e-06	0.430617	0.0825935
cis-independent	CD4	14	ENSG00000165502	rs34707018	-4869	0.756579	7.87871e-22	1.12402	0.074809
cis-independent	CD4	14	ENSG00000140092	rs2267989	-74189	0.513158	3.64182e-19	-0.884362	0.0673317
cis-independent	CD4	14	ENSG00000183828	rs66956754	7965	0.605263	1.5057e-16	0.813223	0.0713263
cis-independent	CD4	14	ENSG00000177465	rs3742819	254	0.375	3.40821e-14	0.87673	0.0883366
cis-independent	CD4	14	ENSG00000119632	rs2273514	250	0.203947	1.18882e-13	-1.09419	0.114055
cis-independent	CD4	14	ENSG00000165898	rs2358787	-22955	0.513158	1.85832e-13	-0.794162	0.0838105
cis-independent	CD4	14	ENSG00000100461	rs1043207	-18365	0.381579	1.8297e-10	-0.920292	0.119669
cis-independent	CD4	14	ENSG00000100445	rs2277489	-6435	0.881579	2.04083e-10	1.23153	0.160725
cis-independent	CD4	14	ENSG00000126777	rs17684959	93663	0.302632	3.47067e-09	0.814202	0.117387
cis-independent	CD4	14	ENSG00000211792	rs1462890941	-2234	0.644737	7.26553e-09	-0.796103	0.118008
cis-independent	CD4	14	ENSG00000092108	rs2198639	-91028	0.223684	5.42728e-08	-0.564867	0.090721
cis-independent	CD4	14	ENSG00000119718	rs175012	-13815	0.473684	1.43723e-07	-0.428638	0.0717703
cis-independent	CD4	14	ENSG00000256053	rs10459574	53744	0.263158	1.62545e-07	-0.866043	0.145796
cis-independent	CD4	14	ENSG00000131981	rs1815580	276722	0.427632	1.77917e-07	0.732858	0.123868
cis-independent	CD4	14	ENSG00000033170	rs34746444	318093	0.592105	1.89513e-07	0.652809	0.110649
cis-independent	CD4	14	ENSG00000100744	rs12897559	31287	0.421053	3.72036e-07	0.383671	0.0670499
cis-independent	CD4	14	ENSG00000023608	rs61451382	-208	0.236842	4.71929e-07	0.842611	0.148892
cis-independent	CD4	14	ENSG00000092036	rs1951120	3409	0.578947	9.42218e-07	0.604492	0.110405
cis-independent	CD4	14	ENSG00000211795	rs12887424	532966	0.407895	1.32378e-06	0.716013	0.132986
cis-independent	CD4	14	ENSG00000119599	rs12587742	218	0.203947	2.09846e-06	0.859709	0.163443
cis-independent	CD4	14	ENSG00000100890	rs7143158	-403085	0.217105	3.64677e-06	0.768319	0.150358
cis-independent	CD4	14	ENSG00000211967	rs76492778	50042	0.394737	1.34639e-05	0.515388	0.108522
cis-independent	CD4	15	ENSG00000166839	rs4238397	-24938	0.625	2.41617e-19	-1.18825	0.0896344
cis-independent	CD4	15	ENSG00000248905	rs345783	-91137	0.236842	3.15927e-18	1.53258	0.122604
cis-independent	CD4	15	ENSG00000140474	rs9210	-6997	0.710526	9.52479e-13	-0.863009	0.0953875
cis-independent	CD4	15	ENSG00000197696	rs62021209	1909	0.269737	5.70744e-11	-1.00402	0.125672
cis-independent	CD4	15	ENSG00000137764	rs12439895	-128041	0.282895	8.03684e-11	0.96644	0.122314
cis-independent	CD4	15	ENSG00000185043	rs8025610	-190	0.151316	1.77176e-10	-1.06722	0.138625
cis-independent	CD4	15	ENSG00000140400	rs111534199	130318	0.217105	2.44605e-10	0.971939	0.127619
cis-independent	CD4	15	ENSG00000169926	rs28510484	18530	0.111842	3.41299e-09	1.173	0.169012
cis-independent	CD4	15	ENSG00000188659	rs767339438	174999	0.0789474	4.51916e-09	1.6012	0.233131
cis-independent	CD4	15	ENSG00000166140	rs34948298	25473	0.328947	6.71698e-09	-0.656429	0.0970134
cis-independent	CD4	15	ENSG00000140368	rs147238110	43969	0.131579	7.87251e-09	0.854961	0.127122
